THRESHOLD,TIME
16384,0.739385
81920,0.242398
147456,0.163293
212992,0.163383
278528,0.111215
344064,0.111357
409600,0.111335
475136,0.111465
540672,0.070586
606208,0.070486
671744,0.070544
737280,0.070706
802816,0.070407
868352,0.070694
933888,0.070737
999424,0.070773
1064960,0.033434
1130496,0.033254
1196032,0.033224
1261568,0.033240
1327104,0.033239
1392640,0.033223
1458176,0.033368
1523712,0.033210
1589248,0.033251
1654784,0.033268
1720320,0.033237
1785856,0.033280
1851392,0.033261
1916928,0.033196
1982464,0.033228
2048000,0.033258
2113536,0.008166
2179072,0.008154
2244608,0.008161
2310144,0.008146
2375680,0.008145
2441216,0.008165
2506752,0.008156
2572288,0.008161
2637824,0.008197
2703360,0.008164
2768896,0.008153
2834432,0.008154
2899968,0.008179
2965504,0.008154
3031040,0.008161
3096576,0.008149
3162112,0.008145
3227648,0.008164
3293184,0.008148
3358720,0.008159
3424256,0.008412
3489792,0.008145
3555328,0.008178
3620864,0.008151
3686400,0.008153
3751936,0.008153
3817472,0.008141
3883008,0.008160
3948544,0.008145
4014080,0.008150
4079616,0.008157
4145152,0.008134
4210688,0.008176
4276224,0.008148
4341760,0.008145
4407296,0.008150
4472832,0.008143
4538368,0.008153
4603904,0.008150
4669440,0.008139
4734976,0.008157
4800512,0.008149
4866048,0.008155
4931584,0.008154
4997120,0.008146
5062656,0.008225
5128192,0.008140
5193728,0.008154
5259264,0.008144
5324800,0.008134
5390336,0.008150
5455872,0.008148
5521408,0.008145
5586944,0.008155
5652480,0.008141
5718016,0.008164
5783552,0.008149
5849088,0.008174
5914624,0.008149
5980160,0.008160
6045696,0.008149
6111232,0.008142
6176768,0.008152
6242304,0.008137
6307840,0.008163
6373376,0.008149
6438912,0.008157
6504448,0.008152
6569984,0.008150
6635520,0.008195
6701056,0.008144
6766592,0.008158
6832128,0.008148
6897664,0.008154
6963200,0.008149
7028736,0.008151
7094272,0.008140
7159808,0.008151
7225344,0.008139
7290880,0.008149
7356416,0.008152
7421952,0.008174
7487488,0.008162
7553024,0.008169
7618560,0.008144
7684096,0.008142
7749632,0.008162
7815168,0.008141
7880704,0.008154
7946240,0.008149
8011776,0.008148
8077312,0.008143
8142848,0.008141
8208384,0.009092
8273920,0.008519
8339456,0.008474
8404992,0.008468
8470528,0.008477
8536064,0.008152
8601600,0.008153
8667136,0.008148
8732672,0.008132
8798208,0.008149
8863744,0.008146
8929280,0.008159
8994816,0.008138
9060352,0.008204
9125888,0.008141
9191424,0.008149
9256960,0.008163
9322496,0.008145
9388032,0.008156
9453568,0.008149
9519104,0.008154
9584640,0.008163
9650176,0.008147
